Year,Actor,Movie,Songs,Singer,Music Director,Director
1972,Sivaji,Vasantha Malligai,Kalaimagal Kai Porule,P Susheela,KV Mahadevan,
1972,Sivaji,Vasantha Malligai,Irandu Manam,TMS,KV Mahadevan,
1972,Sivaji,Vasantha Malligai,Mayakam Enna,"TMS, P Susheela",KV Mahadevan,
1973,Sivaji,Raja Raja Cholan,Thanjai Periya ,"TR Mahalingam, Sirkazhi",Kunnakudi ,AP Nagarajan
1973,Sivaji,Raja Raja Cholan,Yedu Thandhanadi,"Sirkazhi, Varalakshmi",Kunnakudi ,AP Nagarajan
1973,Sivaji,Raja Raja Cholan,Thendralodu,TR Mahalingam,Kunnakudi ,AP Nagarajan
1973,Sivaji,Ponnunjal,Agaya Pandhalile,"TMS, P Susheela",MSV,
1973,Sivaji,Gauravam,Palooti Valathakili,TMS,MSV,
1974,Sivaji,Thanga Padhakam,Sothanai Mel ,"TMS, P Susheela",MSV,P Madhavan
1975,Sivaji,Dr.Siva,Malare Kurinju,KJ Yesudas,MSV,AC Tirulokchander
1975,Sivaji,Paatum Bharathamum,Deivathin Ther Eduthu,TMS,MSV,P Madhavan
1978,Sivaji,Andaman Kathali,Antha Maanai,"KJ Yesudas, Vani Jayaram",MSV,Muktha Srinivasan
1950,MGR,Manthiri Kumari,Vaarai Nee Vaarai,Trichy Loganathan,G Ramanathan,TR Sundaram
1950,MGR,Manthiri Kumari,Ulavum Thendral,Jikki,G Ramanathan,TR Sundaram
1954,MGR,Malaikalan,Ethanai Kaalam,TMS,SM Subbiah Naidu,
1955,MGR,Gulebakavali,Mayakum Malai,"AM Rajah, Jikki",Visw-Ram,TR Ramanna
1956,MGR,Alibabavum 40 Thirudargal,Maasila Unmai Kathale,"AM Rajah, Bhanumathi",S Dakshinamoorthy,TR Sundaram
1956,MGR,Alibabavum 40 Thirudargal,Azhagana Ponnu Na,Bhanumathi,S Dakshinamoorthy,TR Sundaram
1956,MGR,Madurai Veeran,Echu Pizhaikum,"TMS, Jikki",G Ramanathan,
1957,MGR,Mahadevi,Kanmoodum Velaiyilum,"AM Rajah, P Susheela",Visw-Ram,
1957,MGR,Mahadevi,Kuruku Vazhiyil,TMS,Visw-Ram,
1958,MGR,Nadodi Mannan,Thoongadhe Thambi,TMS,SM Subbiah Naidu,MGR
1958,MGR,Nadodi Mannan,Sammadhama,Bhanumathi,SM Subbiah Naidu,MGR
1960,MGR,Mannathi Mannan,Aadadha Manamum,"TMS, MLV",Visw-Ram,
1960,MGR,Mannathi Mannan,Achcham Enbadhu,TMS,Visw-Ram,
1960,MGR,Mannathi Mannan,Kaniya Kaniya,"TMS, P Susheela",Visw-Ram,
1961,MGR,Thirudadhe,Thirudadhe,TMS,SM Subbiah Naidu,P Neelakantan
1962,MGR,Paasam,Pal Vannam,"PB Sreenivas, P Susheela",Visw-Ram,TR Ramanna
1963,MGR,Panathottam,Enna Than Nadakum,TMS,Visw-Ram,K Shankar
1963,MGR,Panathottam,Pesuvathu Kiliya,"TMS, P Susheela",Visw-Ram,K Shankar
1963,MGR,Periya Idathu Penn,Andru Vandhadhu,"TMS, P Susheela",Visw-Ram,TR Ramanna
1963,MGR,Periya Idathu Penn,Kattodu Kuzhal Aada,"TMS, P Susheela, LR Eswari",Visw-Ram,TR Ramanna
1963,MGR,Anandha Jodhi,Ninaika Therindha,P Susheela,Visw-Ram,
1963,MGR,Anandha Jodhi,Paniyilatha Margazhiya,"TMS, P Susheela",Visw-Ram,
1964,MGR,Vettaikaran,Unnai Arindhal,TMS,KV Mahadevan,MA Thirumugam
1964,MGR,Panakara Kudumbam,Pallaku Vaanga,TMS,Visw-Ram,TR Ramanna
1964,MGR,Deiva Thaai,Indha Punnagai,TMS,Visw-Ram,P Madhavan
1964,MGR,Deiva Thaai,Oru Pennai Paarthu,"TMS, P Susheela",Visw-Ram,P Madhavan
1964,MGR,Padagotti,Koduthadhalan Koduthal,TMS,Visw-Ram,T Prakash Rao
1964,MGR,Padagotti,Tharaimel Piraka,TMS,Visw-Ram,T Prakash Rao
1964,MGR,Padagotti,Thottal Po Malarum,"TMS, P Susheela",Visw-Ram,T Prakash Rao
1965,MGR,Enga Veetu Pillai,Naan Anayital,TMS,Visw-Ram,Chanakya
1965,MGR,Enga Veetu Pillai,Kumari Penin,"TMS,P Susheela",Visw-Ram,Chanakya
1965,MGR,Enga Veetu Pillai,Naan Manthopil,"TMS, LR Eswari",Visw-Ram,Chanakya
1965,MGR,Panam Padaithavan,Kanpona Pokile,TMS,Visw-Ram,TR Ramanna
1965,MGR,Aayirathil Oruthan,Adho Andha Paravaipola,TMS,Visw-Ram,BR Panthulu
1965,MGR,Aayirathil Oruthan,Unnai Naan ,P Susheela,Visw-Ram,BR Panthulu
1965,MGR,Aayirathil Oruthan,Adamal Aadugiren,P Susheela,Visw-Ram,BR Panthulu
1965,MGR,Aayirathil Oruthan,Odum Maegangale,TMS,Visw-Ram,BR Panthulu
1965,MGR,Aayirathil Oruthan,Yaen Endra Kelvi,TMS,Visw-Ram,BR Panthulu
1965,MGR,Kalangarai Vilakam,Kaatru Vaanga,TMS,MSV,K Shankar
1966,MGR,Anbe Vaa,Naan Parthathile,"TMS, P Susheela",MSV,AC Tirulokchander
1966,MGR,Anbe Vaa,Puthiya Vaanam,TMS,MSV,AC Tirulokchander
1966,MGR,Anbe Vaa,Rajavin Paarvai,"TMS, P Susheela",MSV,AC Tirulokchander
1966,MGR,Chandrodhayam,Chandrodhayam Oru Pen,"TMS, P Susheela",MSV,K Shankar
1966,MGR,Parakum Paavai,Kalyana Naal Paarka ,"TMS, P Susheela",MSV,TR Ramanna
1966,MGR,Petraltan Pillaiya,Nalla Nalla Pilaigalai,"Sirkazhi, P Susheela",MSV,Krishnanâ€“Panju
1967,MGR,Kavalkaran,Ninaithen Vanthal,"TMS, P Susheela",MSV,P Neelakantan
1967,MGR,Vivasayi,Vivasayi,TMS,KV Mahadevan,MA Thirumugam
1968,MGR,Kudiyirintha Kovil,Un Vizhiyum En Vaalum,"TMS, LR Eswari",MSV,K Shankar
1968,MGR,Kudiyirintha Kovil,Ennai Theriyuma,TMS,MSV,K Shankar
1968,MGR,Kudiyirintha Kovil,Thulluvadho Illamai,"TMS, LR Eswari",MSV,K Shankar
1968,MGR,Kudiyirintha Kovil,Aadaludan Paadalai,"TMS, P Susheela",MSV,K Shankar
1968,MGR,Kudiyirintha Kovil,Kunguma Pottin,"TMS, P Susheela",MSV,K Shankar
1968,MGR,Oli Vilaku,Aandavane Un,P Susheela,MSV,Chanakya
1968,MGR,Oli Vilaku,Iraiva Un Maaligayil,P Susheela,MSV,Chanakya
1969,MGR,Adimai Penn,Aayiram Nilave Vaa,"SPB, P Susheela",KV Mahadevan,K Shankar
1969,MGR,Adimai Penn,Thaai Ilamal,TMS,KV Mahadevan,K Shankar
1969,MGR,Adimai Penn,Yematradhe,TMS,KV Mahadevan,K Shankar
1969,MGR,Nam Naadu,Vaangaiya Vathyaraiya,"TMS, P Susheela",MSV,
1969,MGR,Nam Naadu,Ninaithadhai Nadathiye,"TMS, LR Eswari",MSV,
1970,MGR,Maatukara Velan,Pattikada Pattanama,"TMS, LR Eswari",KV Mahadevan,P Neelakantan
1970,MGR,En Annan,Nenjam Undu,TMS,KV Mahadevan,P Neelakantan
1970,MGR,Thedi Vandha Mapillai,Vetri Meedhu Vetri Vandhu,SPB,MSV,BR Panthulu
1970,MGR,Engal Thangam,Thanga Padhakathin Mele,"TMS, P Susheela",MSV,Krishnanâ€“Panju
1970,MGR,Engal Thangam,Kadha Kaalachebam,TMS,MSV,Krishnanâ€“Panju
1970,MGR,Engal Thangam,Naan Sethu Pulachavanda,TMS,MSV,Krishnanâ€“Panju
1971,MGR,Rickshawkaran,Kadaloram Vaangiya,TMS,MSV,M Krishnan
1971,MGR,Rickshawkaran,Ange Siripavargal,TMS,MSV,M Krishnan
1971,MGR,Rickshawkaran,Azhagiya Thamizh Magal,"TMS, P Susheela",MSV,M Krishnan
1972,MGR,Naan Yen Pirandhen,Naan Paadum Paadal,TMS,Shankar-Ganesh,M Krishnan
1972,MGR,Naan Yen Pirandhen,Naan Yen Piranthen,TMS,Shankar-Ganesh,M Krishnan
1973,MGR,Ulagam Sutrum Valiban,Aval Oru Navarasa,SPB,MSV,MGR
1973,MGR,Ulagam Sutrum Valiban,Nilavu Oru Pennagi,TMS,MSV,MGR
1973,MGR,Ulagam Sutrum Valiban,Pachaikili Muthucharam,"TMS, P Susheela",MSV,MGR
1973,MGR,Ulagam Sutrum Valiban,Sirithu Vaazha,TMS,MSV,MGR
1973,MGR,Ulagam Sutrum Valiban,Thanga Thoniyile,"KJ Yesudas, P Susheela",MSV,MGR
1974,MGR,Netru Indru Naalai,Padum Podhu Naan,SPB,MSV,P Neelakantan
1974,MGR,Netru Indru Naalai,Nee Enena ,"TMS, P Susheela",MSV,P Neelakantan
1974,MGR,Netru Indru Naalai,Ange Varuvadhu,"SPB, S Janaki",MSV,P Neelakantan
1974,MGR,Urimai Kural,Vizhiye Kadhai Ezhudhu,"KJ Yesudas, P Susheela",MSV,CV Sridhar
1975,MGR,Ninaithadhai Mudipavan,Poomazhai Thoovi,TMS,MSV,P Neelakantan
1975,MGR,Ninaithadhai Mudipavan,Kannai Nambathey,TMS,MSV,P Neelakantan
1975,MGR,Ninaithadhai Mudipavan,Oruvar Meethu,"TMS, P Susheela",MSV,P Neelakantan
1975,MGR,Naalai Namadhe,Naalai Namadhe,"TMS, SPB",MSV,
1975,MGR,Naalai Namadhe,Neela Nayanangalil,"KJ Yesudas, P Susheela",MSV,
1975,MGR,Idhayakani,Neenga Nalla Irukanum,"Sirkazhi, TMS, P Susheela",MSV,A Jaganathan
1975,MGR,Pallandu Vaazhga,Poi Vaa Nadhi,"KJ Yesudas, TK Kaala",MSV,K Shankar
1975,MGR,Pallandu Vaazhga,Enna Sugam,"KJ Yesudas, P Susheela",MSV,K Shankar
1975,MGR,Pallandu Vaazhga,Sorgathin Thirapuvizha,"KJ Yesudas, Vani Jayaram",MSV,K Shankar
1975,MGR,Pallandu Vaazhga,Ondre Kulamendru,KJ Yesudas,MSV,K Shankar
1976,MGR,Needhiku Thalaivanangu,Indha Pachai Kiliku Oru,KJ Yesudas,MSV,P Neelakantan
1976,MGR,Ooruku Uzhaipavan,Idhudhan Muthal,"KJ Yesudas, Vani Jayaram",MSV,M Krishnan
1976,MGR,Ooruku Uzhaipavan,Azhagenum Oviyam,"KJ Yesudas, P Susheela",MSV,M Krishnan
1976,MGR,Ooruku Uzhaipavan,Pillai Thamizh,KJ Yesudas,MSV,M Krishnan
1977,MGR,Indru Pol Endrum Vaazhga,Anbuku Naan Adimai,KJ Yesudas,MSV,K Shankar
1977,MGR,Meenava Nanban,Thangathil Mugameduthu,"KJ Yesudas, Vani Jayaram",MSV,CV Sridhar
1955,Gemini,Missiamma ,Vaarayo Vennilave,"AM Rajah, P Susheela",S Rajeswara Rao,LV Prasad
1955,Gemini,Missiamma ,Brindavanamum,"AM Rajah, P Susheela",S Rajeswara Rao,LV Prasad
1952,Gemini,Thaai Ullam,Konjum Purave,MLV,Nageswara Rao,
1957,Gemini,Mayabazar,Aaha Inba Nilavinile,"Ghantasala, Leela",S Rajeswara Rao,
1957,Gemini,Sadhaaram,Ninaindhu Ninaindhu Nenjam,TMS,G Ramanathan,
1957,Gemini,Mayabazar,Kalyana Samayal Sadham,Trichy Loganathan,S Rajeswara Rao,
1957,Gemini,Manalane Mangayn Bagyam,Thesulavuthe,"Ghantasala, P Susheela",Adinarayana Rao,
1957,Gemini,Manalane Mangayn Bagyam,Azhaikathe,P Susheela,Adinarayana Rao,
1957,Gemini,Mallika,Varuven Naan Unadhu,"AM Rajah, P Susheela",TR Paapa,
1957,Gemini,Sowbagyavathi,Thillai Ambala Nataraja,TMS,Nageswara Rao,
1958,Gemini,Vanjikotai Valiban,Kannum Kannum Kalandhu,"Leela, Jikki",C Ramachandra,
1959,Gemini,Kadan Vaangi Kalyanam,Podhum Undhan Jaalame,AM Rajah,S Rajeswara Rao,LV Prasad
1959,Gemini,Kalyana Parisu,Unaikandu Naan Aada,P Susheela,AM Rajah,CV Sridhar
1959,Gemini,Kalyana Parisu,Vaadikai Maranthathu,"AM Rajah, P Susheela",AM Rajah,CV Sridhar
1959,Gemini,Kalyana Parisu,Thullatha Manamum,Jikki,AM Rajah,CV Sridhar
1960,Gemini,Elorum Innatu Mannar,Ennarumai Kadhaliku,TMS,TG Lingappa,T Prakash Rao
1960,Gemini,Meenda Sorgam,Thuyiladha Pen Ondru,"AM Rajah, P Susheela",Chalapathi Rao,CV Sridhar
1960,Gemini,Kalathur Kannama,Kangalin Vaarthaigal,"AM Rajah, P Susheela",R Sudarsanam,Bhimsingh
1960,Gemini,Kalathur Kannama,Aadatha Manamum,"AM Rajah, P Susheela",R Sudarsanam,Bhimsingh
1960,Gemini,Kalathur Kannama,Ammavum Neeye,MS Rajeswari,R Sudarsanam,Bhimsingh
1961,Gemini,Then Nilavu,Chinna Chinna Kannule,"AM Rajah, P Susheela",AM Rajah,CV Sridhar
1961,Gemini,Then Nilavu,Kaalaiyum Neeye,"AM Rajah, S Janaki",AM Rajah,CV Sridhar
1961,Gemini,Then Nilavu,Malare Malare,P Susheela,AM Rajah,CV Sridhar
1961,Gemini,Then Nilavu,Nilavum Malarum,"AM Rajah, P Susheela",AM Rajah,CV Sridhar
1961,Gemini,Then Nilavu,Ohoo Endhan Baby,"AM Rajah, S Janaki",AM Rajah,CV Sridhar
1961,Gemini,Then Nilavu,Paatu Paadava,AM Rajah,AM Rajah,CV Sridhar
1961,Gemini,Bhagyalakshmi,Maalai Pozhuthin,P Susheela,Visw-Ram,
1961,Gemini,Panithirai,Yedho Manidhan,PB Sreenivas,KV Mahadevan,Muktha Srinivasan
1962,Gemini,Konjum Salangai,Singara Velane,S Janaki,SM Subbiah Naidu,
1962,Gemini,Manithan Maaravilai,Kadhal Yaathiraiku,"AL Raghavan, P Susheela",Ghantasala,
1962,Gemini,Aadi Peruku,Kaveri Oram,P Susheela,AM Rajah,K Shankar
1962,Gemini,Aadi Peruku,Thanimayile Inimai,"AM Rajah, P Susheela",AM Rajah,K Shankar
1962,Gemini,Kaathiruntha Kangal,Valarndha Kalai,"PB Sreenivas, P Susheela",Visw-Ram,T Prakash Rao
1962,Gemini,Paadha Kanikai,Aththai Magane,P Susheela,Visw-Ram,K Shankar
1962,Gemini,Paadha Kanikai,Poojaiku Vandha,"PB Sreenivas, S Janaki",Visw-Ram,K Shankar
1962,Gemini,Paadha Kanikai,Veedu Varai Uravu,TMS,Visw-Ram,K Shankar
1962,Gemini,Sumai Thaangi,Mambazhathu Vandu,"PB Sreenivas, S Janaki",Visw-Ram,CV Sridhar
1962,Gemini,Sumai Thaangi,Manithan Enbavan,PB Sreenivas,Visw-Ram,CV Sridhar
1962,Gemini,Sumai Thaangi,Mayakam Kalakama,PB Sreenivas,Visw-Ram,CV Sridhar
1963,Gemini,Karpagam,AthaI Madi Methaiyadi,P Susheela,Visw-Ram,
1963,Gemini,Karpagam,Mannavane Azhalama,P Susheela,Visw-Ram,
1965,Gemini,Vaazkai Padagu,Netru Varai Nee Yaro,PB Sreenivas,Visw-Ram,
1965,Gemini,Vallavanuku Vallavan,Or Aayiram Parvayile,TMS,Vedha,
1965,Gemini,Veera Abhimanyu,Paarthen Sirithen,"PB Sreenivas, P Susheela",KV Mahadevan,
1966,Gemini,Ramu,Nilave Ennidam,"PB Sreenivas, P Susheela",MSV,AC Tirulokchander
1969,Gemini,Shanthi Nilayam,Iyarkai Ennum,"SPB, P Susheela",MSV,
1971,Gemini,Avalukendru Oru Manam,Mangayaril Maharani,"SPB, P Susheela",MSV,CV Sridhar
1971,Gemini,Annai Velankani,Vaanamenum Veedhiyile,"KJ Yesudas, Madhuri",G Devarajan,
1971,Gemini,Aathi Parasakthi,Thanthaiku Manthirathai,Radha Jayalakshmi,KV Mahadevan,
1972,Gemini,Deivam,Maruthamalai,Madurai Somu,Kunnakudi ,MA Thirumugam
1972,Gemini,Deivam,Naadariyum 100 Malai,Pithukuli Murugadoss,Kunnakudi ,MA Thirumugam
1972,Gemini,Deivam,Varuvandi Tharuvandi,Soolamangalam,Kunnakudi ,MA Thirumugam
1972,Gemini,Deivam,Thiruchendorin Kadalorathin,"TMS, Sirkazhi",Kunnakudi ,MA Thirumugam
1972,Gemini,Deivam,Kundrathule Kumaranuku,Bangalore Ramani Ammal,Kunnakudi ,MA Thirumugam
1972,Gemini,Deivam,Thiruchendoril Por Purindhu,Radha Jayalakshmi,Kunnakudi ,MA Thirumugam
1976,Sivakumar,Annakili,Annakili Una Thedudhe,S Janaki,Ilayaraja,Devaraj-Mohan
1976,Sivakumar,Annakili,Machana Paathingala,S Janaki,Ilayaraja,Devaraj-Mohan
1976,Sivakumar,Bhadrakali,Kannan Oru Kaikuzhandai,"KJ Yesudas, P Susheela",Ilayaraja,
1978,Muthuraman,Kaatrinile Varum Geetham,Oru Vaanavil Pole,"Jayachandran, S Janaki",Ilayaraja,SP Muthuraman
1978,Muthuraman,Achchani,Maatha Un Kovilil,S Janaki,Ilayaraja,
1978,Sivakumar,Chittu Kuruvi,En Kanmani,"SPB, P Susheela",Ilayaraja,Devaraj-Mohan
1978,,Kizhake Pogum Rail,Kovil Mani Osai,"Malaysia Vasudevan, S Janaki",Ilayaraja,Bharathiraja
1978,,Kizhake Pogum Rail,Mancholai Kili Thano,Jayachandran,Ilayaraja,Bharathiraja
1978,,Kizhake Pogum Rail,Poovarasampoo Poothachu,S Janaki,Ilayaraja,Bharathiraja
1979,Vijaykanth,Agal Vilaku,Yedho Ninaivugal ,"KJ Yesudas, SP Shailaja",Ilayaraja,
1979,,Pagalil Oru Iravu,Ilamai Ennum Poongatru,SPB,Ilayaraja,
1979,,Azhage Unnai Aarathikkiren,Naane Naana ,Vani Jayaram,Ilayaraja,CV Sridhar
1979,,Niram Maratha Pookal,Aayiram Malargale,"Malaysia Vasudevan, SP Shailaja,Jency",Ilayaraja,Bharathiraja
1979,,Niram Maratha Pookal,Iru Paravaigal,Jency,Ilayaraja,Bharathiraja
1979,,Niram Maratha Pookal,Mudhal Mudhalaga,"SPB, S Janaki",Ilayaraja,Bharathiraja
1979,,Ponnu Oorukku Pudhusu,Oram Po,,Ilayaraja,
1979,,Puthiya Vaarpugal,Vaan Meghangale,,Ilayaraja,Bharathiraja
1979,,Puthiya Vaarpugal,Idhayam Poguthe,,Ilayaraja,Bharathiraja
1979,,Puthiya Vaarpugal,Thamthanam Thana,,Ilayaraja,Bharathiraja
1979,,Anbe Sangeetha,Chinnapura Ondru,,Ilayaraja,
1980,,Kallukul Eeram,Siru Ponmani,,Ilayaraja,
1980,,Moodu Pani,Yen Iniya Pon Nilave,,Ilayaraja,Balu Mahendra
1980,,Nizhalgal,Ithu Oru Pon Malai,,Ilayaraja,Bharathiraja
1980,,Nizhalgal,Madai Thiranthu,,Ilayaraja,Bharathiraja
1980,,Nizhalgal,Poongathave Thal Thiravai,,Ilayaraja,Bharathiraja
1981,,Paneer Pushpangal ,Kodai Kaala Katre,,Ilayaraja,P Vasu
1981,,Paneer Pushpangal ,Aanadha Ragam,,Ilayaraja,P Vasu
1981,,Paneer Pushpangal ,Poonthalir Aada,,Ilayaraja,P Vasu
1982,,Thai Mookambikai,Isai Arasi Ennalum,,Ilayaraja,
1982,,Thai Mookambikai,Janani Janani,,Ilayaraja,
1982,,Thooral Ninnu Pochu,Bhoopalam Isaikkum,,Ilayaraja,K Bhagyaraj
1982,,Thooral Ninnu Pochu,Thanga Sangili,,Ilayaraja,K Bhagyaraj
1982,Prabhu,Kozhi Koovuthu,Edho Mogam ,,Ilayaraja,Gangai Amaran
1982,Sivakumar,Anandha Ragam,Megam Karukuthu,,Ilayaraja,
1982,Sivakumar,Anandha Ragam,Oru Raagam,,Ilayaraja,
1982,,Kadhal Oviyam,Naatham En Jeevane,,Ilayaraja,Bharathiraja
1982,,Kadhal Oviyam,Nathiyil Aadum,,Ilayaraja,Bharathiraja
1982,,Kadhal Oviyam,Poovil Vandu,,Ilayaraja,Bharathiraja
1982,,Kadhal Oviyam,Sangeetha Jathimullai,,Ilayaraja,Bharathiraja
1983,,Aanandha Kummi,Oru Kili Urugudhu,,Ilayaraja,
1983,,Mann Vasanai,Poththi Vachcha,,Ilayaraja,Bharathiraja
1983,,Indru Nee Nalai Naan,Ponvaanam Panner Thoovudhu,,Ilayaraja,
1983,,Mundhanai Mudichu,Kanna Thorakanum,,Ilayaraja,K Bhagyaraj
1983,,Malaiyoor Mambattiyan,Chinna Ponnu Selai,,Ilayaraja,
1983,,Oru Odai Nadhiyagirathu,Thalayai Kuniyum Thamaraye,,Ilayaraja,CV Sridhar
1984,,Ingeyum Oru Gangai ,Solai Pushpangale,,Ilayaraja,Manivannan
1984,,Neengal Ketavai,Adiye Manam Nilluna,,Ilayaraja,Balu Mahendra
1984,,Neengal Ketavai,Pillai Nila,,Ilayaraja,Balu Mahendra
1985,Sivaji,Muthal Mariyadhai,Antha Nilava Thaan,,Ilayaraja,Bharathiraja
1985,Sivaji,Muthal Mariyadhai,Poongatru Thirumbuma,,Ilayaraja,Bharathiraja
1985,Sivaji,Muthal Mariyadhai,Vetti Veru Vasam,,Ilayaraja,Bharathiraja
1985,Sivakumar,Sindhu Bhairavi,Poomalai Vaangi Vandhen,,Ilayaraja,Balachander
1985,Sivakumar,Sindhu Bhairavi,Naan Oru Sindhu,,Ilayaraja,Balachander
1985,Sivakumar,Sindhu Bhairavi,Thanni Thotti Thedi Vantha,,Ilayaraja,Balachander
1985,Sivakumar,Sindhu Bhairavi,Paadariyen,,Ilayaraja,Balachander
1985,,Aan Paavam,Kadhal Kasakuthaiya,,Ilayaraja,
1985,Murali,Geethanjali,Thulli Ezhunthathu,,Ilayaraja,K Rangaraj
1985,Murali,Geethanjali,Oru Jeevan,,Ilayaraja,K Rangaraj
1985,Murali,Pagal Nilavu,Poo Maalaye,,Ilayaraja,Mani Ratnam
1985,,Poove Poochooda Vaa,Chinna Kuyil Paadum Pattu,,Ilayaraja,Fazil
1985,,Poove Poochooda Vaa,Poovae Poochudava,,Ilayaraja,Fazil
1986,Sathyaraj,Kadalora Kavithaigal,Adi Aathadi,,Ilayaraja,Bharathiraja
1986,Sathyaraj,Kadalora Kavithaigal,Kodiyile Malliyapoo,,Ilayaraja,Bharathiraja
1987,Ramarajan,Enga Ooru Paatukaran,Shenbagame Shenbagame,,Ilayaraja,Gangai Amaran
1987,Ramarajan,Enga Ooru Paatukaran,Madurai Marikozhunthu Vaasam,,Ilayaraja,Gangai Amaran
1988,Ramarajan,Raasave Unna Nambi,Raasathi Manasule,,Ilayaraja,
1988,Ramarajan,Enga Ooru Kavakkaran,Arumbagi,,Ilayaraja,
1989,,Pudhu Pudhu Arthangal,Guruvayurappa,,Ilayaraja,K Balachander
1989,,Pudhu Pudhu Arthangal,Kalyana Maalai,,Ilayaraja,K Balachander
1989,,Pudhu Pudhu Arthangal,Keladi Kanmani,,Ilayaraja,K Balachander
1989,,Idhayathai Thirudathe,O Priya Priya,,Ilayaraja,Mani Ratnam
1989,,Idhayathai Thirudathe,O Papa Lali,,Ilayaraja,Mani Ratnam
1989,,Idhayathai Thirudathe,Om Namaha,,Ilayaraja,Mani Ratnam
1989,Ramarajan,Karakattakkaran,Indha Maan,,Ilayaraja,Gangai Amaran
1989,Ramarajan,Karakattakkaran,Kudagu Malai,,Ilayaraja,Gangai Amaran
1989,Ramarajan,Karakattakkaran,Maanguyilae,,Ilayaraja,Gangai Amaran
1989,Ramarajan,Karakattakkaran,Mundhi Mundhi,,Ilayaraja,Gangai Amaran
1989,Ramarajan,Karakattakkaran,Ooruvittu Ooruvandhu,,Ilayaraja,Gangai Amaran
